Title,Company Name,Location,Posted,Type,Experience,Link
Remote Corporate Counsel,Jobgether,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/eqj7niafakje-remote-corporate-counsel-jobgether-riyadh-saudi-arabia
Higher Level Teaching Assistant - UAE National - Yasmina British Academy,Aldar Education,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/8hvzv028cqtz-higher-level-teaching-assistant-uae-national-yasmina-british-academy-aldar-education-dubai-united-arab-emirates
Senior Commercial Analyst,Bayut KSA,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kmh3b7di4crg-senior-commercial-analyst-bayut-ksa-riyadh-saudi-arabia
Executive Sous Chef,Marriott International,"Riyadh, Saudi Arabia ",1 day ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/b1erb1ewutww-executive-sous-chef-marriott-international-riyadh-saudi-arabia
Cyber Security Specialist,Confidential Government,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/swscbn1elmp0-cyber-security-specialist-confidential-government-riyadh-saudi-arabia
Customer Success Manager,TrendAI,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/qxy9cel3tdlr-customer-success-manager-trendai-dubai-united-arab-emirates
Regional Marketing Manager – Middle East & Africa (MEA),Siemens,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/t0nhg0bcobta-regional-marketing-manager-middle-east-africa-mea-siemens-dubai-united-arab-emirates
Business Analyst (UAE National) | Dubai,Emirates NBD,"Dubai, United Arab Emirates ",6 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/ftklorupgqat-business-analyst-uae-national-dubai-emirates-nbd-dubai-united-arab-emirates
Services Presales Consultant,Dell Technologies,"Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/iif5bi537sra-services-presales-consultant-dell-technologies-riyadh-saudi-arabia
Product Manager - AI,Canonical,"Riyadh, Saudi Arabia ",2 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/wqfbg1w4tech-product-manager-ai-canonical-riyadh-saudi-arabia
"Assurance - External Audit Manager (Banking) - Riyadh, KSA",PwC,"Riyadh, Saudi Arabia ",4 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/g0bjw3ru1e1n-assurance-external-audit-manager-banking-riyadh-ksa-pwc-riyadh-saudi-arabia
"Senior Manager, Virtual & Digital Assets",Commercial Bank of Dubai,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/hxain4mpreyu-senior-manager-virtual-digital-assets-commercial-bank-of-dubai-dubai-united-arab-emirates
Oracle Functional Consultant,ParamInfo,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/a0s2yxcgjwlb-oracle-functional-consultant-paraminfo-dubai-united-arab-emirates
L2 Support Engineer - Web Applications,DXC Technology,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kd6al3xij78o-l2-support-engineer-web-applications-dxc-technology-riyadh-saudi-arabia
System Engineering Manager,General Commercial Gaming Regulatory Authority  GCGRA,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/f3blrw7ix4qk-system-engineering-manager-general-commercial-gaming-regulatory-authority-gcgra-dubai-united-arab-emirates
Lead Engineer - OT Cybersecurity,CPX,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/qfmyuhkeairp-lead-engineer-ot-cybersecurity-cpx-dubai-united-arab-emirates
Lead - Threat Intelligence,CPX,"Dubai, United Arab Emirates ",7 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/plzhfvb2vvxu-lead-threat-intelligence-cpx-dubai-united-arab-emirates
Retail Area Manager Middle East,DAMIANI Group,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/pskmhv989add-retail-area-manager-middle-east-damiani-group-dubai-united-arab-emirates
Site Access Responsible,Capgemini Engineering,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/gu8z5fecsplm-site-access-responsible-capgemini-engineering-riyadh-saudi-arabia
Assurance - External Audit - Senior Associates - Dhahran,PwC Middle East,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/abog1vatouis-assurance-external-audit-senior-associates-dhahran-pwc-middle-east-riyadh-saudi-arabia
Business Development Manager (Daily rentals),Bayut KSA,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/zhuvsgvtambj-business-development-manager-daily-rentals-bayut-ksa-riyadh-saudi-arabia
Structural Engineer,AtkinsRéalis,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/gkw4oadxijav-structural-engineer-atkinsrealis-dubai-united-arab-emirates
Senior Cost Control Engineer,Energy Job Search,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/hgd7cmecqgae-senior-cost-control-engineer-energy-job-search-riyadh-saudi-arabia
Fraud case Assessment and Response Analyst,ADIB  Abu Dhabi Islamic Bank,"Dubai, United Arab Emirates ",6 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/hley0soekqgf-fraud-case-assessment-and-response-analyst-adib-abu-dhabi-islamic-bank-dubai-united-arab-emirates
Quality Assurance Officer - Real Estate,Energy Job Search,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/1hlpcgtsdlgg-quality-assurance-officer-real-estate-energy-job-search-dubai-united-arab-emirates
Senior Finance Analyst -Managed Services Finance Analyst,PwC Middle East,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/glxa1cxpzc9c-senior-finance-analyst-managed-services-finance-analyst-pwc-middle-east-riyadh-saudi-arabia
Logistics Representative,C.H. Robinson,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/bn7k5gi9tewd-logistics-representative-c-h-robinson-dubai-united-arab-emirates
Engineering Interface Manager,Energy Job Search,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/lbvyfshfdhlq-engineering-interface-manager-energy-job-search-riyadh-saudi-arabia
